wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W2,q119_2,core_questionnaire,binary,2,2,7; 8; 9,119_2,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W2,q119_3,core_questionnaire,binary,2,2,7; 8; 9,119_3,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W2,q156,core_questionnaire,binary,2,2,9,union,Relation: The European Community or European Union
W2,q157,core_questionnaire,binary,2,2,9,nations,Relation: The United Nations or UN
W2,q158,core_questionnaire,binary,2,2,9,monetary,Relation: International Monetary Fund or IMF
W2,q159,core_questionnaire,binary,2,2,9,world,Relation: World Bank
W2,q20,core_questionnaire,binary,2,2,8; 9,member,Are you a member of any organization or formal groups?
W2,q48,core_questionnaire,likert_5,5,5,8; 9,describe,"On the whole, how would you rate the freeness and fairness of the last national election? How would ..."
W2,q51_1,core_questionnaire,binary,2,2,8; 9,information,"On the whole, how would you rate the freeness and fairness of the last national election? Main sourc..."
W2,q51_2,core_questionnaire,binary,2,2,8; 9,newspaper,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_3,core_questionnaire,binary,2,2,8; 9,radio,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_4,core_questionnaire,binary,2,2,8; 9,internet,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_5,core_questionnaire,binary,2,2,8; 9,short,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_6,core_questionnaire,binary,2,2,8; 9,contact,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_7,core_questionnaire,binary,2,2,8; 9,other,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_8,core_questionnaire,binary,2,2,8; 9,magazine,"On the whole, how would you rate the freeness and fairness of the last national election? Magazine"
W2,q52,core_questionnaire,likert_3,3,3,7; 8; 9,discuss,"When you get together with your family members or friends, how often do you discuss political matter..."
W2,se10a,socioeconomic,binary,2,2,-1; 7; 8; 9,total,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.1 Car/Je...
W2,se10b,socioeconomic,binary,2,2,-1; 7; 8; 9,tractor,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.2 Tracto...
W2,se10c,socioeconomic,binary,2,2,-1; 7; 8; 9,color,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.3 Color ...
W2,se10d,socioeconomic,binary,2,2,-1; 7; 8; 9,cable,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.4 Cable ...
W2,se10e,socioeconomic,binary,2,2,-1; 7; 8; 9,scooter,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.5 Scoote...
W2,se10f,socioeconomic,binary,2,2,-1; 7; 8; 9,telephone,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.6 Teleph...
W2,se10g,socioeconomic,binary,2,2,-1; 7; 8; 9,mobile,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.7 Mobile...
W2,se10h,socioeconomic,binary,2,2,-1; 7; 8; 9,electric,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.8 Electr...
W2,se10i,socioeconomic,binary,2,2,9,bicycle,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.9 Bicycl...
W2,se10j,socioeconomic,binary,2,2,-1; 7; 8; 9,transistor,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.10 Radio...
W2,se10k,socioeconomic,binary,2,2,-1; 7; 8; 9,pumping,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.11 Pumpi...
W2,se10l,socioeconomic,binary,2,2,-1; 7; 8; 9,fridge,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.12 Fridg...
W2,se10m,socioeconomic,binary,2,2,-1; 7; 8; 9,camera,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.13 Camer...
W2,se10n,socioeconomic,binary,2,2,-1; 7; 8; 9,goats,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.14 Goats...
W2,se10o,socioeconomic,binary,2,2,-1; 7; 8; 9,buffalo,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.15 Cows/...
W2,se12b,socioeconomic,binary,2,2,9,chief,Respondent is also the chief wage earner?
